GRD_NEWID,MS_POPULATION_20200101
1kmN3120E3822,37
1kmN3121E3822,42
1kmN3122E3822,55
1kmN3123E3822,28
1kmN3124E3822,25
1kmN3125E3822,64
1kmN3126E3822,676
1kmN3127E3822,404
1kmN3128E3822,6
1kmN3129E3822,636
1kmN3130E3822,98
1kmN3131E3822,287
1kmN3132E3822,129
1kmN3133E3822,2
1kmN3134E3822,10
1kmN3135E3822,10
1kmN3136E3822,14
1kmN3137E3822,10
1kmN3138E3822,17
1kmN3139E3822,11
1kmN3140E3822,6
1kmN3141E3822,24
1kmN3142E3822,21
1kmN3143E3822,11
1kmN3144E3822,11
1kmN3145E3822,179
1kmN3146E3822,277
1kmN3090E3823,0
1kmN3091E3823,0
1kmN3092E3823,90
1kmN3093E3823,3
1kmN3094E3823,531
1kmN3095E3823,291
1kmN3096E3823,33
1kmN3097E3823,66
1kmN3098E3823,7
1kmN3099E3823,92
1kmN3100E3823,30
1kmN3101E3823,146
1kmN3102E3823,52
1kmN3103E3823,304
1kmN3104E3823,914
1kmN3105E3823,248
1kmN3106E3823,53
1kmN3107E3823,83
1kmN3108E3823,299
1kmN3109E3823,79
1kmN3110E3823,24
1kmN3111E3823,28
1kmN3112E3823,285
1kmN3113E3823,729
1kmN3114E3823,22
1kmN3115E3823,241
1kmN3116E3823,65
1kmN3117E3823,73
1kmN3118E3823,133
1kmN3119E3823,470
1kmN3120E3823,76
1kmN3121E3823,37
1kmN3122E3823,478
1kmN3123E3823,78
1kmN3124E3823,46
1kmN3125E3823,141
1kmN3126E3823,274
1kmN3127E3823,0
1kmN3128E3823,2
1kmN3129E3823,570
1kmN3130E3823,19
1kmN3131E3823,217
1kmN3132E3823,572
1kmN3133E3823,73
1kmN3134E3823,334
1kmN3135E3823,4
1kmN3136E3823,74
1kmN3137E3823,169
1kmN3138E3823,12
1kmN3139E3823,7
1kmN3140E3823,12
1kmN3141E3823,113
1kmN3142E3823,1352
1kmN3143E3823,83
1kmN3144E3823,4
1kmN3145E3823,458
1kmN3146E3823,1150
1kmN3147E3823,0
1kmN3092E3824,0
1kmN3093E3824,0
1kmN3094E3824,114
1kmN3095E3824,987
1kmN3096E3824,45
1kmN3097E3824,36
1kmN3098E3824,49
1kmN3099E3824,89
1kmN3100E3824,32
1kmN3101E3824,324
1kmN3102E3824,41
1kmN3103E3824,43
1kmN3104E3824,56
1kmN3105E3824,95
1kmN3106E3824,16
1kmN3107E3824,60
1kmN3108E3824,17
1kmN3109E3824,35
1kmN3110E3824,239
1kmN3111E3824,30
1kmN3112E3824,834
1kmN3113E3824,709
1kmN3114E3824,41
1kmN3115E3824,568
1kmN3116E3824,14
1kmN3117E3824,16
1kmN3118E3824,97
1kmN3119E3824,512
1kmN3120E3824,120
1kmN3121E3824,124
1kmN3122E3824,646
1kmN3123E3824,33
1kmN3124E3824,32
1kmN3125E3824,631
1kmN3126E3824,99
1kmN3127E3824,21
1kmN3128E3824,55
1kmN3129E3824,141
1kmN3130E3824,29
1kmN3131E3824,46
1kmN3132E3824,35
1kmN3133E3824,386
1kmN3134E3824,180
1kmN3135E3824,6
1kmN3136E3824,2
1kmN3137E3824,8
1kmN3138E3824,17
1kmN3139E3824,19
1kmN3140E3824,18
1kmN3141E3824,41
1kmN3142E3824,553
1kmN3143E3824,67
1kmN3144E3824,13
